id,_symbol,_company,_quantity,_sheesh
1,AAPL,Apple Inc.,2783556807464,172.48
2,MSFT,Microsoft Corp.,3001823429740,403.98
3,AMZN,Amazon.com. Inc,1798682128584,172.2
4,NVDA,Nvidia Corp.,1969462499995,859.745
5,GOOGL,Alphabet. Inc Class A,1714550132350,138.42
6,META,Meta Platforms Inc. Class A,1227668355162,484.535
7,TSLA,Tesla Inc.,633231798881,178.83
8,GOOG,Alphabet Inc. Class C,1715851800880,139.253
9,BRK-B,Berkshire Hathaway Inc. Class B,880425943010,403.65
10,AVGO,Broadcom Inc.,605807213517,1286.4633
11,UNH,UnitedHealth Group Inc.,483347302319,488.91
12,JPM,JPMorgan Chase & Co.,527222910157,187.505
13,LLY,Eli Lilly & Co.,729963468416,731.31
14,V,Visa Inc. Class A,578980738805,279.91
15,XOM,Exxon Mobil Corp. ,414512841681,108.49
16,JNJ,Johnson & Johnson,387113434414,160.3202
17,HD,Home Depot Inc.,372665909271,370.42
18,MA,Mastercard Inc. Class A ,436626421381,467.6825
19,PG,Procter & Gamble Co.,375494445676,161.605
20,COST,Costco Wholesale Corp.,329246176000,713.99
21,ABBV,AbbVie Inc.,316745738569,179.145
22,MRK,Merck & Co. Inc.,326584509972,122.22
23,ADBE,Adobe Inc.,248206760000,560.63
24,CVX,Chevron Corp. ,280317115592,151.06
25,CRM,Salesforce Inc.,287457280000,306.14
26,TRN,TORININC,200,25.81
